index	token	frequency
1801	gloriously	5
1802	dead	22
1803	wholly	6
1804	highest	6
1805	values	12
1806	generous	6
1807	edited	7
1808	frequently	15
1809	overwrought	13
1810	sad	33
1811	parents	25
1812	looks	40
1813	jaglom	7
1814	sparkling	7
1815	patient	5
1816	odds	7
1817	emerge	7
1818	exquisite	8
1819	chilling	12
1820	france	6
1821	wind	8
1822	remembering	5
1823	string	7
1824	convince	6
1825	existence	6
1826	wise	14
1827	planet	8
1828	remind	5
1829	brought	12
1830	value	15
1831	respect	12
1832	various	10
1833	happens	13
1834	admirable	11
1835	defies	5
1836	logic	9
1837	returns	8
1838	decades	13
1839	writer	19
1840	holiday	12
1841	retread	11
1842	society	12
1843	gets	72
1844	bodies	6
1845	sudden	5
1846	rush	9
1847	note	6
1848	davis	12
1849	vivid	14
1850	pulls	9
1851	knowing	11
1852	let	17
1853	earnestness	6
1854	skill	13
1855	twists	17
1856	somber	10
1857	absurd	7
1858	achingly	6
1859	bartleby	7
1860	copy	7
1861	martin	15
1862	gangs	8
1863	goodfellas	5
1864	cross	10
1865	bunch	12
1866	exotic	6
1867	running	27
1868	screaming	6
1869	brown	17
1870	impossible	30
1871	grace	18
1872	greatest	14
1873	solidly	6
1874	pair	8
1875	stylized	6
1876	virtues	5
1877	hold	18
1878	romp	10
1879	observant	7
1880	abstract	8
1881	terms	19
1882	impact	20
1883	unfolds	13
1884	pull	12
1885	knowledge	10
1886	vehicle	13
1887	move	14
1888	persona	11
1889	harris	8
1890	aging	5
1891	appears	16
1892	police	7
1893	shooting	8
1894	eyre	5
1895	becoming	9
1896	indian	9
1897	lee	14
1898	warm	24
1899	inconsistent	5
1900	depiction	9
1901	proud	6
1902	loved	9
1903	grim	5
1904	eastwood	6
1905	blood	13
1906	well-made	11
1907	&	15
1908	surprises	18
1909	surely	12
1910	politically	5
1911	cgi	5
1912	resolutely	6
1913	ones	18
1914	benefit	5
1915	quitting	5
1916	solondz	17
1917	hour	38
1918	disappointing	9
1919	escape	12
1920	self-conscious	9
1921	skin	16
1922	general	14
1923	audiences	32
1924	celebration	5
1925	system	5
1926	kidman	6
1927	charisma	12
1928	sell	5
1929	vein	5
1930	sadness	9
1931	lots	18
1932	packed	7
1933	ultimate	19
1934	middle	22
1935	ya-ya	7
1936	books	7
1937	essence	7
1938	generally	14
1939	credible	8
1940	harry	7
1941	unexpectedly	6
1942	empathy	12
1943	manhattan	10
1944	especially	46
1945	holes	13
1946	controversy	6
1947	sketchy	6
1948	fully	19
1949	bears	16
1950	warmth	17
1951	appropriate	6
1952	breaks	7
1953	gory	5
1954	chiller	5
1955	masterful	8
1956	gender	5
1957	test	7
1958	background	8
1959	step	12
1960	sign	10
1961	abandon	8
1962	freeman	6
1963	weighty	5
1964	wrapped	6
1965	idiosyncratic	5
1966	executed	8
1967	sincerity	5
1968	daily	6
1969	fail	5
1970	treatment	17
1971	please	17
1972	chris	12
1973	chabrol	7
1974	deftly	10
1975	smartly	7
1976	played	11
1977	scary	22
1978	thought-provoking	13
1979	western	6
1980	cultures	7
1981	asks	10
1982	questions	15
1983	adventure	31
1984	thrill	7
1985	darkly	5
1986	affair	15
1987	train	5
1988	further	13
1989	metropolis	6
1990	hate	16
1991	search	7
1992	redemption	6
1993	tap	5
1994	spiritual	13
1995	wry	11
1996	mayhem	12
1997	rap	5
1998	wanting	5
1999	answers	9
2000	domestic	7
2001	finding	10
2002	dog	20
2003	gay	18
2004	concert	6
2005	footage	14
2006	stirring	10
2007	blow	6
2008	trouble	19
2009	enjoyably	5
2010	dumb	28
2011	intermittently	6
2012	spent	11
2013	ahead	8
2014	excels	5
2015	enigmatic	6
2016	stunning	12
2017	nelson	5
2018	unabashedly	6
2019	anachronistic	5
2020	bleak	8
2021	spectacular	9
2022	decade	5
2023	sexual	19
2024	jealousy	6
2025	americans	8
2026	blame	6
2027	required	8
2028	success	21
2029	extraordinary	13
2030	polished	5
2031	sting	5
2032	con	7
2033	washington	10
2034	demands	9
2035	newcomer	5
2036	broken	11
2037	anywhere	5
2038	patience	8
2039	either	39
2040	fill	9
2041	editing	13
2042	brothers	11
2043	essentially	16
2044	historical	23
2045	context	7
2046	sitcom	8
2047	taking	21
2048	female	20
2049	graphic	11
2050	shocking	8
2051	difficult	28
2052	sobering	7
2053	final	25
2054	noyce	5
2055	delicate	13
2056	genial	5
2057	whatever	16
2058	feel-good	10
2059	club	5
2060	emotion	12
2061	climactic	6
2062	match	16
2063	supernatural	5
2064	soderbergh	16
2065	favorite	5
2066	friends	8
2067	thick	7
2068	problem	40
2069	outside	9
2070	japan	6
2071	juvenile	5
2072	am	7
2073	break	15
2074	attraction	14
2075	desperately	9
2076	needed	15
2077	jack	11
2078	went	10
2079	gangster	13
2080	no.	9
2081	denial	5
2082	taken	18
2083	slice	12
2084	process	21
2085	flamboyant	6
2086	nicholson	9
2087	oscar	17
2088	nomination	7
2089	roles	7
2090	connection	5
2091	convoluted	5
2092	amazing	14
2093	stunts	10
2094	considerable	17
2095	talking	12
2096	morvern	5
2097	ramsay	7
2098	insights	8
2099	delivered	11
2100	makers	10
2101	uncompromising	8
2102	abuse	6
2103	none	28
2104	outstanding	6
2105	potent	7
2106	families	10
2107	offer	22
2108	lie	6
2109	fat	15
2110	surreal	7
2111	sisterhood	5
2112	maintains	8
2113	humorous	14
2114	politics	13
2115	interest	37
2116	west	7
2117	wars	10
2118	considered	6
2119	die	11
2120	hannibal	6
2121	completely	36
2122	results	15
2123	magnificent	6
2124	treasure	11
2125	created	15
2126	exploring	6
2127	sympathetic	6
2128	buy	11
2129	slight	20
2130	pale	6
2131	continues	9
2132	situations	18
2133	lesser	6
2134	cover	5
2135	ozpetek	5
2136	explore	6
2137	ways	32
2138	suspenseful	10
2139	recommend	16
2140	party	13
2141	fluid	5
2142	authority	7
2143	writing	28
2144	simplicity	6
2145	science	9
2146	type	11
2147	realistic	12
2148	musical	12
2149	extravaganza	5
2150	cheesy	9
2151	palma	6
2152	thrillers	6
2153	barbershop	12
2154	reach	10
2155	grasp	5
2156	scorsese	10
2157	bold	8
2158	central	15
2159	mesmerizing	10
2160	coming	19
2161	realize	10
2162	morning	6
2163	deliver	14
2164	x	13
2165	games	11
2166	endearing	15
2167	fight	9
2168	desperation	9
2169	drug	8
2170	insomnia	7
2171	conventional	16
2172	penetrating	5
2173	scenery	5
2174	equivalent	11
2175	tender	9
2176	handled	7
2177	college	17
2178	wet	5
2179	stand-up	8
2180	supporting	11
2181	exceptionally	7
2182	awe	6
2183	choices	10
2184	gift	5
2185	loves	8
2186	dance	9
2187	hair	8
2188	enthusiastic	6
2189	timeless	5
2190	embarrassment	7
2191	teens	10
2192	adds	9
2193	substantial	7
2194	'70s	8
2195	mcgrath	5
2196	nicholas	9
2197	nickleby	7
2198	dickens	7
2199	lovely	20
2200	charms	10
2201	problematic	7
2202	inoffensive	8
2203	jewish	5
2204	knew	7
2205	presented	5
2206	intelligence	33
2207	saturday	8
2208	revelation	5
2209	including	12
2210	crazy	18
2211	throughout	22
2212	piano	6
2213	subtly	5
2214	anderson	5
2215	sincere	18
2216	adam	12
2217	sandler	17
2218	appear	8
2219	substitute	5
2220	sink	7
2221	gritty	9
2222	compassion	9
2223	effortlessly	6
2224	players	7
2225	basically	6
2226	reel	6
2227	farce	11
2228	alternately	7
2229	observations	10
2230	ourselves	5
2231	fly	8
2232	anyway	6
2233	actress	19
2234	funnier	15
2235	connect	6
2236	neat	6
2237	bright	12
2238	fancy	6
2239	television	14
2240	smile	11
2241	exist	5
2242	yiddish	5
2243	accessible	8
2244	seat	14
2245	changing	10
2246	lanes	5
2247	exposition	5
2248	mysterious	5
2249	follow	8
2250	fit	16
2251	strangely	15
2252	comfort	7
2253	tired	27
2254	finish	16
2255	equal	6
2256	parts	10
2257	dogtown	5
2258	revolution	12
2259	wide	5
2260	tense	5
2261	gradually	9
2262	beneath	11
2263	cohesive	5
2264	exciting	19
2265	given	29
2266	drag	15
2267	aspects	11
2268	start	23
2269	jerry	5
2270	skip	9
2271	role	29
2272	open	11
2273	greek	11
2274	stylish	20
2275	wallace	9
2276	unbelievable	5
2277	meandering	13
2278	'60s	5
2279	riveting	15
2280	brisk	6
2281	delight	15
2282	capture	8
2283	runner	5
2284	chinese	9
2285	dong	7
2286	folks	11
2287	portrays	7
2288	subtlety	9
2289	convey	6
2290	uneven	19
2291	bigger	7
2292	ambitious	24
2293	installment	5
2294	spy	23
2295	personality	11
2296	101	5
2297	raw	11
2298	narc	8
2299	jason	11
2300	race	7
2301	stone	6
2302	conspiracy	5
2303	intricate	6
2304	flashy	10
2305	double	6
2306	diesel	7
2307	box	6
2308	office	9
2309	telling	15
2310	examines	6
2311	racial	6
2312	ai	7
2313	lame	14
2314	dreary	13
2315	recommended	5
2316	horrifying	8
2317	event	9
2318	elements	28
2319	animation	32
2320	squeeze	6
2321	jolie	5
2322	secretary	8
2323	psychologically	6
2324	passes	5
2325	melancholy	6
2326	performed	6
2327	myself	8
2328	hackneyed	11
2329	contrivances	7
2330	effect	15
2331	irony	7
2332	george	17
2333	terrifying	9
2334	nor	32
2335	oddly	14
2336	actresses	10
2337	enormously	5
2338	murphy	15
2339	released	8
2340	choose	7
2341	incident	5
2342	scores	8
2343	pedestrian	7
2344	title	47
2345	notwithstanding	5
2346	well-crafted	7
2347	uncanny	6
2348	precisely	6
2349	animal	12
2350	known	5
2351	similarly	5
2352	dramatically	9
2353	machine	13
2354	plain	20
2355	awful	23
2356	entertain	7
2357	saga	8
2358	tv	32
2359	brother	7
2360	profile	5
2361	current	7
2362	todd	5
2363	suburban	5
2364	mess	35
2365	borrows	6
2366	art-house	5
2367	porn	5
2368	unusually	6
2369	assured	11
2370	marvel	6
2371	apparently	11
2372	grow	9
2373	career	20
2374	cliché	12
2375	japanese	12
2376	delivering	8
2377	hero	25
2378	incompetent	5
2379	meat	5
2380	child	11
2381	skins	5
2382	forgive	8
2383	intentions	12
2384	halloween	8
2385	relies	10
2386	heavily	5
2387	throwing	7
2388	brief	5
2389	mike	10
2390	chance	12
2391	stay	13
2392	builds	5
2393	uncertain	5
2394	shake	10
2395	james	12
2396	tears	6
2397	tepid	5
2398	trek	8
2399	villain	7
2400	queen	15
2401	stale	14
2402	standard	16
2403	concept	25
2404	quest	9
2405	features	12
2406	behold	7
2407	impressed	5
2408	allow	7
2409	pulling	5
2410	spin	6
2411	soon	12
2412	yearning	6
2413	prove	11
2414	tremendous	5
2415	exception	5
2416	particular	14
2417	served	13
2418	turned	11
2419	cynical	9
2420	until	23
2421	wendigo	5
2422	woo	11
2423	collateral	5
2424	damage	9
2425	trash	8
2426	extra	5
2427	formula	31
2428	pacing	20
2429	stereotypes	8
2430	potentially	10
2431	previous	20
2432	finale	10
2433	spots	5
2434	rhythms	9
2435	cheer	5
2436	increasingly	10
2437	computer	7
2438	favor	12
2439	blade	17
2440	bits	11
2441	fighting	8
2442	bond	15
2443	bloody	7
2444	hitting	7
2445	fear	12
2446	caught	8
2447	escapism	6
2448	hip-hop	11
2449	appreciate	9
2450	scratch	9
2451	bursts	5
2452	improbable	7
2453	touched	6
2454	source	11
2455	scooby	5
2456	astonishingly	6
2457	complete	16
2458	gang	5
2459	curiosity	9
2460	advantage	6
2461	present	10
2462	identity	12
2463	dish	5
2464	apparent	9
2465	mildly	19
2466	outing	6
2467	rating	5
2468	refuses	5
2469	conservative	5
2470	showing	9
2471	question	17
2472	grows	10
2473	enthusiasm	8
2474	philosophy	6
2475	verve	6
2476	hong	8
2477	kong	8
2478	inevitable	7
2479	holm	6
2480	accurate	5
2481	colors	6
2482	exploitation	8
2483	partly	8
2484	decency	5
2485	mediocrity	5
2486	childhood	7
2487	cares	7
2488	frustration	6
2489	gag	8
2490	expense	5
2491	significant	5
2492	cherish	5
2493	shots	16
2494	mediocre	21
2495	supposed	21
2496	target	16
2497	laugh-out-loud	6
2498	monty	12
2499	heat	5
2500	low	22
2501	obsession	7
2502	uncomfortable	5
2503	cartoons	5
2504	private	7
2505	number	15
2506	levels	10
2507	wake	6
2508	joyous	9
2509	messages	10
2510	particularly	32
2511	drawn	8
2512	remember	17
2513	hartley	6
2514	satirical	7
2515	constantly	9
2516	laughed	6
2517	deserved	5
2518	stitch	6
2519	awkward	11
2520	midnight	5
2521	cold	31
2522	goofy	19
2523	bowling	5
2524	sensibility	5
2525	loses	14
2526	screenwriting	10
2527	talk	9
2528	stop	7
2529	inherent	6
2530	coherent	6
2531	material	76
2532	monsters	8
2533	spring	6
2534	dream	15
2535	working	21
2536	choice	6
2537	properly	6
2538	topic	6
2539	starring	9
2540	snipes	7
2541	wife	14
2542	tarantino	5
2543	detailed	9
2544	rise	7
2545	inspiration	9
2546	saving	8
2547	lightweight	8
2548	attractive	8
2549	critics	6
2550	murky	6
2551	brooding	5
2552	create	17
2553	preposterous	7
2554	wild	28
2555	carefully	6
2556	encouraging	6
2557	downbeat	7
2558	heavy	17
2559	nature	24
2560	faith	14
2561	attempts	16
2562	prefer	5
2563	reasons	6
2564	sugar	9
2565	dare	6
2566	russian	8
2567	word	20
2568	layers	6
2569	howard	10
2570	format	5
2571	honesty	6
2572	ties	5
2573	superior	10
2574	change	23
2575	charismatic	7
2576	rising	5
2577	hunter	5
2578	documentaries	6
2579	yourself	14
2580	ah	6
2581	characterizations	8
2582	guns	9
2583	obviously	9
2584	country	20
2585	amused	8
2586	labute	7
2587	traditional	9
2588	sloppy	13
2589	slap	8
2590	threat	5
2591	constant	7
2592	suspense	33
2593	clichés	18
2594	glory	8
2595	mere	9
2596	presence	12
2597	chills	7
2598	weirdness	5
2599	behavior	12
2600	rises	11
2601	painfully	16
2602	floor	5
2603	lively	6
2604	cage	7
2605	deserve	11
2606	bizarre	15
2607	del	5
2608	within	9
2609	instantly	7
2610	beginning	9
2611	drawing	6
2612	sayles	5
2613	minute	6
2614	reign	11
2615	fire	22
2616	nasty	9
2617	hey	9
2618	offbeat	9
2619	acts	10
2620	studio	11
2621	ponderous	7
2622	rohmer	6
2623	totally	11
2624	notion	8
2625	austin	9
2626	seven	7
2627	maintain	6
2628	suck	5
2629	ask	11
2630	serves	10
2631	grab	6
2632	lump	5
2633	harder	5
2634	tries	34
2635	slip	8
2636	bullets	7
2637	kevin	14
2638	soundtrack	14
2639	guy	24
2640	well-meaning	9
2641	exploit	5
2642	arrives	7
2643	travel	6
2644	deceptively	7
2645	hoot	5
2646	drags	7
2647	forced	14
2648	breathtaking	8
2649	commentary	11
2650	candy	8
2651	contemporary	17
2652	southern	7
2653	lets	16
2654	compared	5
2655	belongs	9
2656	top	13
2657	rank	5
2658	vincent	7
2659	cletis	9
2660	clean	5
2661	gripping	15
2662	arrive	5
2663	filling	7
2664	dose	5
2665	ironically	5
2666	resonance	8
2667	simplistic	15
2668	amy	7
2669	possibly	15
2670	similar	7
2671	bittersweet	11
2672	scene	30
2673	shrill	5
2674	nuance	5
2675	characterization	5
2676	inexplicable	6
2677	guess	9
2678	opportunities	5
2679	splendid	8
2680	walter	5
2681	hill	8
2682	vitality	5
2683	hands	8
2684	heady	5
2685	serviceable	7
2686	chances	5
2687	alabama	9
2688	promises	9
2689	hallmark	6
2690	exactly	24
2691	capturing	5
2692	watchable	22
2693	pic	7
2694	wants	17
2695	dreams	13
2696	professional	7
2697	ugly	20
2698	blair	9
2699	witch	9
2700	territory	10
2701	confusing	11
2702	breaking	5
2703	sustain	20
2704	conclusion	14
2705	evening	5
2706	aside	12
2707	leads	17
2708	except	19
2709	education	5
2710	efforts	11
2711	frame	17
2712	foster	5
2713	undoubtedly	5
2714	wear	5
2715	fits	5
2716	realized	10
2717	rude	6
2718	fool	5
2719	spite	7
2720	predictability	5
2721	first-rate	7
2722	shakespeare	7
2723	quick	10
2724	pretensions	6
2725	cynicism	6
2726	shadows	7
2727	hint	5
2728	support	5
2729	prospect	6
2730	appeal	24
2731	rice	6
2732	vampire	11
2733	poetic	12
2734	artifice	7
2735	lady	10
2736	duke	6
2737	theatrical	8
2738	virtually	16
2739	9	9
2740	park	9
2741	bottom	9
2742	amateurish	12
2743	figure	14
2744	craft	5
2745	staggeringly	5
2746	pays	6
2747	beat	12
2748	profound	9
2749	length	11
2750	serve	7
2751	blue	16
2752	crush	18
2753	award	6
2754	enterprise	7
2755	wait	13
2756	gone	25
2757	listen	5
2758	mtv	5
2759	20	12
2760	design	8
2761	intoxicating	9
2762	run-of-the-mill	7
2763	anger	5
2764	motivated	5
2765	room	18
2766	bite	11
2767	fall	15
2768	lane	6
2769	horrible	12
2770	exceedingly	5
2771	poverty	5
2772	transcend	5
2773	heroine	6
2774	real-life	10
2775	basis	5
2776	sit	21
2777	kline	7
2778	dreadful	5
2779	expected	11
2780	crane	5
2781	brosnan	6
2782	jessica	5
2783	poem	8
2784	90	18
2785	christmas	11
2786	category	8
2787	obnoxious	9
2788	shrewd	5
2789	payoff	7
2790	frustrating	13
2791	russell	5
2792	meets	6
2793	sport	5
2794	carmen	5
2795	rhythm	7
2796	demonstrates	8
2797	cox	5
2798	nijinsky	7
2799	familial	5
2800	shoulders	6
2801	consistent	5
2802	banal	10
2803	island	5
2804	rodriguez	5
2805	lacking	21
2806	content	10
2807	job	26
2808	first-time	9
2809	guessing	5
2810	regret	5
2811	smith	6
2812	wow	9
2813	casual	7
2814	chaotic	7
2815	numbers	14
2816	indulgent	5
2817	jagger	5
2818	don	6
2819	frightening	7
2820	peek	7
2821	list	11
2822	distinctive	5
2823	cleverness	5
2824	tragedies	7
2825	michel	5
2826	piccoli	5
2827	shapeless	6
2828	gore	5
2829	ludicrous	12
2830	hook	7
2831	thumbs	7
2832	paxton	5
2833	vanity	5
2834	tasteful	5
2835	wonders	5
2836	richer	5
2837	tortured	5
2838	matters	10
2839	order	6
2840	curiously	7
2841	biting	8
2842	breath	6
2843	jackie	7
2844	chan	18
2845	consciousness	5
2846	lingering	6
2847	deliberately	5
2848	ordinary	12
2849	glossy	6
2850	savvy	7
2851	hugh	7
2852	scott	5
2853	portrayal	8
2854	roger	11
2855	drugs	7
2856	visit	5
2857	unlikely	10
2858	transforms	5
2859	inhabit	5
2860	judd	6
2861	avoid	11
2862	dealing	8
2863	sticks	6
2864	dangerous	8
2865	budget	13
2866	sophomoric	6
2867	matthew	6
2868	inner-city	5
2869	endure	5
2870	harvard	11
2871	plympton	6
2872	construct	5
2873	send	7
2874	waiting	12
2875	bland	29
2876	ball	5
2877	offering	10
2878	aspirations	5
2879	settles	8
2880	annoying	13
2881	unoriginal	7
2882	upper	5
2883	intent	6
2884	technical	7
2885	xxx	8
2886	said	17
2887	bridge	5
2888	contains	7
2889	thematic	7
2890	interested	17
2891	garbage	6
2892	buddy	5
2893	display	7
2894	pleasing	6
2895	camp	8
2896	nightmare	6
2897	portray	5
2898	richard	5
2899	dawson	5
2900	outcome	5
2901	sees	8
2902	arts	5
2903	turning	8
2904	sappy	12
2905	unfortunately	21
2906	student	5
2907	relentlessly	8
2908	account	7
2909	lan	6
2910	yu	8
2911	static	6
2912	pointed	5
2913	baffling	7
2914	severe	5
2915	superficial	13
2916	crisis	6
2917	80	5
2918	mental	5
2919	venture	5
2920	bag	9
2921	chew	5
2922	feardotcom	5
2923	herself	7
2924	leaving	11
2925	boasts	7
2926	happiness	7
2927	middle-aged	6
2928	tried	5
2929	bruce	5
2930	held	5
2931	flash	7
2932	videos	5
2933	dana	5
2934	mann	5
2935	thousands	6
2936	tuck	5
2937	saved	6
2938	sorvino	6
2939	amazingly	5
2940	aliens	5
2941	attract	5
2942	chooses	5
2943	losing	6
2944	wacky	8
2945	vs.	12
2946	produced	11
2947	initial	5
2948	pants	5
2949	niche	5
2950	chicago	5
2951	versus	5
2952	anomie	5
2953	calculated	5
2954	pastiche	6
2955	course	14
2956	eccentric	8
2957	puzzling	5
2958	devoid	14
2959	parody	9
2960	teenagers	8
2961	alternative	7
2962	'em	7
2963	rendered	9
2964	alienation	5
2965	indeed	14
2966	seeks	5
2967	amounts	8
2968	blast	6
2969	lazy	13
2970	designed	11
2971	screenwriter	12
2972	charlie	5
2973	snow	11
2974	aimless	5
2975	husband	8
2976	enter	5
2977	shelf	6
2978	spot	6
2979	fourth	5
2980	dragons	5
2981	allegory	6
2982	slowly	7
2983	seeking	6
2984	definitive	5
2985	measure	6
2986	curious	7
2987	bored	6
2988	depends	5
2989	moody	5
2990	steve	5
2991	shanghai	7
2992	ghetto	7
2993	structure	12
2994	ignore	5
2995	failure	12
2996	appalling	5
2997	downright	10
2998	ghost	11
2999	triangle	6
3000	trapped	7
3001	shockingly	5
3002	predecessors	6
3003	wins	5
3004	screenwriters	8
3005	inspirational	7
3006	presentation	5
3007	ritchie	8
3008	featuring	7
3009	ford	6
3010	save	12
3011	renner	5
3012	succumbs	5
3013	necessarily	6
3014	meant	8
3015	feelings	5
3016	crude	8
3017	building	5
3018	importance	9
3019	tout	8
3020	seeming	6
3021	formulaic	14
3022	daring	8
3023	joel	5
3024	bill	5
3025	prison	8
3026	kicks	5
3027	godard	11
3028	treats	6
3029	predictably	10
3030	chateau	5
3031	reveal	6
3032	walsh	5
3033	fate	7
3034	chase	11
3035	trailer	7
3036	drive	6
3037	faster	7
3038	innocence	8
3039	opaque	5
3040	self-indulgent	8
3041	comedian	8
3042	drop	7
3043	psychology	8
3044	require	5
3045	telegraphed	5
3046	biggest	11
3047	worked	11
3048	neither	38
3049	janice	5
3050	teeth	5
3051	accents	6
3052	computer-generated	5
3053	cop	6
3054	reggio	6
3055	glass	9
3056	academy	6
3057	praise	5
3058	younger	7
3059	suggests	6
3060	movements	6
3061	references	8
3062	kung	8
3063	pow	8
3064	favors	5
3065	t	7
3066	finely	7
3067	capacity	6
3068	says	8
3069	intellectual	9
3070	overwhelming	5
3071	staged	7
3072	tight	5
3073	quirks	7
3074	messy	5
3075	momentum	6
3076	latter	6
3077	eloquent	7
3078	personalities	5
3079	pathetic	10
3080	santa	10
3081	clause	7
3082	former	6
3083	admit	9
3084	effectively	5
3085	smoochy	8
3086	kapur	8
3087	amid	6
3088	enigma	8
3089	audacious	5
3090	uncomfortably	5
3091	easier	8
3092	big-screen	6
3093	happening	6
3094	smug	8
3095	elusive	5
3096	suited	6
3097	routine	17
3098	attal	6
3099	jonah	5
3100	exaggerated	5
3101	market	8
3102	sandra	7
3103	malkovich	5
3104	slack	6
3105	struggling	5
3106	table	5
3107	belt	7
3108	showtime	11
3109	followed	5
3110	adventures	7
3111	pity	10
3112	disappointingly	5
3113	promising	11
3114	trite	6
3115	humorless	6
3116	proportions	5
3117	adequate	5
3118	shallow	16
3119	independent	5
3120	dubious	5
3121	wasted	12
3122	clumsy	10
3123	surrounding	6
3124	lifestyle	6
3125	suspect	6
3126	minimalist	5
3127	rote	7
3128	o	5
3129	missing	15
3130	tends	7
3131	station	5
3132	generic	19
3133	seek	5
3134	determination	8
3135	poor	17
3136	survive	5
3137	menace	5
3138	harmless	10
3139	nowhere	13
3140	merchant	5
3141	bruckheimer	5
3142	week	9
3143	victim	7
3144	lush	6
3145	benjamins	5
3146	frontal	5
3147	friend	7
3148	throw	5
3149	forth	5
3150	justify	9
3151	lopez	6
3152	gravity	5
3153	crudup	6
3154	disjointed	6
3155	squarely	5
3156	sum	14
3157	scattered	7
3158	endless	9
3159	rob	8
3160	factor	5
3161	nobody	5
3162	wilson	6
3163	episodes	5
3164	cleverly	6
3165	fatal	11
3166	1\/2	5
3167	writers	5
3168	naturalistic	5
3169	generate	8
3170	street	7
3171	theory	5
3172	birot	5
3173	ought	5
3174	seemingly	7
3175	dedication	5
3176	mild	9
3177	following	6
3178	pratfalls	5
3179	blank	5
3180	competent	8
3181	after-school	7
3182	recycled	7
3183	mistake	11
3184	traveler	6
3185	stephen	5
3186	loud	20
3187	base	5
3188	mean-spirited	7
3189	took	6
3190	immediate	5
3191	thinks	12
3192	cloying	11
3193	so-so	6
3194	manipulative	16
3195	sadly	9
3196	complications	7
3197	pantheon	5
3198	marginal	5
3199	tawdry	5
3200	weight	11
3201	scream	5
3202	rooting	6
3203	kinda	6
3204	heavy-handed	9
3205	ethnic	5
3206	pokemon	7
3207	explosions	7
3208	emphasis	5
3209	esther	6
3210	eddie	8
3211	collapses	6
3212	handful	6
3213	chases	7
3214	goldmember	6
3215	car	14
3216	corner	7
3217	unpleasant	9
3218	flat	31
3219	missed	10
3220	insulting	6
3221	plotted	7
3222	ready	5
3223	artificial	10
3224	cliched	8
3225	pulp	6
3226	cutesy	5
3227	senses	5
3228	veers	5
3229	unintentional	5
3230	catches	5
3231	carrying	5
3232	paper	7
3233	infomercial	5
3234	demographic	6
3235	answer	7
3236	textbook	5
3237	irish	6
3238	chekhov	5
3239	remain	8
3240	disposable	7
3241	rescue	6
3242	inspire	6
3243	wondering	7
3244	drink	5
3245	looked	8
3246	bar	5
3247	text	6
3248	translation	5
3249	anthony	5
3250	witness	5
3251	putting	5
3252	total	9
3253	onscreen	9
3254	hip	8
3255	well-intentioned	6
3256	\/	7
3257	nonsensical	5
3258	plotting	11
3259	talky	6
3260	weak	13
3261	oh	6
3262	madonna	9
3263	costumes	5
3264	hide	5
3265	kill	6
3266	pile	8
3267	sorority	5
3268	offensive	13
3269	showcase	6
3270	circuit	6
3271	cry	5
3272	earn	5
3273	erotic	6
3274	responsible	5
3275	nights	6
3276	feature-length	7
3277	lucky	5
3278	pretends	7
3279	crass	7
3280	tiresome	13
3281	incoherence	5
3282	vapid	7
3283	hack	5
3284	serial	5
3285	player	5
3286	stupid	22
3287	rollerball	7
3288	schneider	11
3289	product	12
3290	comparison	7
3291	produce	5
3292	distinctly	5
3293	incoherent	8
3294	ballistic	6
3295	ecks	5
3296	sever	5
3297	seagal	14
3298	inconsequential	6
3299	stretched	6
3300	convenient	6
3301	badly	14
3302	avary	5
3303	screening	5
3304	joke	14
3305	built	6
3306	pointless	15
3307	hollow	5
3308	motions	5
3309	mechanical	6
3310	subplots	5
3311	plodding	11
3312	unfunny	19
3313	wilder	5
3314	rip-off	8
3315	stiff	5
3316	rehash	5
3317	spears	6
3318	inept	10
3319	named	6
3320	sinks	7
3321	passable	5
3322	rent	7
3323	choppy	9
3324	stealing	8
3325	incomprehensible	5
3326	clue	5
3327	muted	5
3328	wannabe	8
3329	sluggish	6
3330	tuxedo	8
3331	advice	6
3332	clumsily	6
3333	poorly	16
3334	sleep	5
3335	crap	8
3336	deuces	7
3337	dogs	8
3338	leaden	7
3339	swimfan	5
3340	pool	5
3341	eager	5
3342	preachy	9
3343	propaganda	7
3344	muddled	8
3345	limp	5
3346	lousy	10
3347	carvey	7
3348	bother	9
3349	misses	5
3350	windtalkers	7
3351	lackluster	7
3352	begin	5
3353	mushy	5
3354	4ever	5
3355	equilibrium	5
3356	terribly	6
3357	considering	5
3358	lifeless	7
3359	clockstoppers	5
3360	misery	5
3361	uninspired	10
3362	invention	5
3363	clothes	5
3364	suit	5
3365	bore	14
3366	manufactured	5
3367	busy	7
3368	clichéd	5
3369	remotely	5
3370	disguise	12
3371	listless	9
3372	witless	7
3373	stunt	7
3374	britney	8
3375	30	5
3376	laughable	7
3377	unimaginative	7
3378	disappointment	5
3379	labored	7
3380	soulless	7
3381	gel	5
3382	obligatory	5
3383	sara	8
3384	shoot	8
3385	phone	5
3386	inane	8
3387	squanders	5
3388	feet	5
3389	earlier	5
3390	unnecessary	9
3391	wooden	5
3392	sheridan	5
3393	literally	7
3394	bogs	5
3395	stilted	8
3396	halfway	9
3397	shadyac	5
3398	benigni	9
3399	redundant	5
3400	pinocchio	8
3401	grating	6
3402	undone	5
3403	unconvincing	7
3404	unless	8
3405	vague	6
3406	sketch	6
3407	arty	5
3408	improve	5
3409	random	5
3410	impostor	6
3411	charmless	5
3412	radical	5
3413	junk	7
3414	farrelly	5
3415	hastily	6
3416	dud	6
