index	token	frequency
3414	forward	2
3415	sally	1
3416	jesse	2
3417	raphael	1
3418	philadelphia	2
3419	sign	10
3420	abandon	8
3421	scripts	4
3422	olympia	1
3423	wash.	1
3424	marcken	1
3425	marilyn	1
3426	freeman	6
3427	weighty	5
3428	colorfully	1
3429	wrapped	6
3430	idiosyncratic	5
3431	kitschy	2
3432	executed	8
3433	sincerity	5
3434	appreciation	4
3435	daily	6
3436	hardhearted	1
3437	scrooge	4
3438	fail	5
3439	respond	3
3440	treatment	17
3441	sturm	2
3442	und	2
3443	drang	2
3444	please	17
3445	chris	12
3446	fuhrman	1
3447	posthumously	1
3448	published	1
3449	claude	3
3450	chabrol	7
3451	innuendo	4
3452	deftly	10
3453	smartly	7
3454	played	11
3455	stones	1
3456	shameful	1
3457	scary	22
3458	widely	1
3459	debated	2
3460	ferocity	2
3461	thoughtfulness	2
3462	thought-provoking	13
3463	western	6
3464	intentioned	1
3465	wreak	1
3466	havoc	1
3467	cultures	7
3468	asks	10
3469	discerned	2
3470	non-firsthand	1
3471	questions	15
3472	capability	3
3473	recording	4
3474	eventual	4
3475	adventure	31
3476	thrill	7
3477	disquieting	4
3478	darkly	5
3479	tumultuous	1
3480	affair	15
3481	musset	2
3482	train	5
3483	wreck	2
3484	further	13
3485	metropolis	6
3486	hate	16
3487	subtitles	4
3488	search	7
3489	redemption	6
3490	blanchett	1
3491	ribisi	1
3492	compellingly	3
3493	tap	5
3494	spiritual	13
3495	aspect	4
3496	wry	11
3497	mayhem	12
3498	callow	3
3499	fatherhood	1
3500	rap	5
3501	wanting	5
3502	answers	9
3503	fessenden	4
3504	ownership	1
3505	redefinition	1
3506	myth	3
3507	domestic	7
3508	unit	1
3509	finding	10
3510	opens	4
3511	maggots	1
3512	crawling	1
3513	dog	20
3514	stanley	2
3515	kwan	4
3516	gay	18
3517	stripe	1
3518	concert	6
3519	footage	14
3520	stirring	10
3521	sessions	3
3522	blow	6
3523	admirers	2
3524	norton	4
3525	mermaid	2
3526	aladdin	1
3527	trouble	19
3528	veggies	1
3529	creaky	2
3530	staircase	1
3531	gothic	2
3532	enjoyably	5
3533	dumb	28
3534	intermittently	6
3535	sends	2
3536	spent	11
3537	light-years	1
3538	ahead	8
3539	blockbusters	3
3540	pearl	2
3541	harbor	2
3542	artistically	2
3543	eventful	1
3544	guru	1
3545	helped	3
3546	launch	1
3547	isabelle	2
3548	excels	5
3549	enigmatic	6
3550	mika	1
3551	anna	1
3552	mouglalis	1
3553	stunning	12
3554	mysteries	4
3555	nelson	5
3556	eddy	1
3557	crooned	1
3558	jeanette	1
3559	macdonald	1
3560	unabashedly	6
3561	canadian	3
3562	scorn	2
3563	disinterest	1
3564	anachronistic	5
3565	bleak	8
3566	maguire	2
3567	spectacular	9
3568	completion	1
3569	artworks	1
3570	decade	5
3571	sexual	19
3572	jealousy	6
3573	resentment	2
3574	pretence	1
3575	bombshell	1
3576	americans	8
3577	regardless	4
3578	blame	6
3579	required	8
3580	civics	1
3581	classes	1
3582	would-be	4
3583	success	21
3584	travails	3
3585	extraordinary	13
3586	polished	5
3587	vastly	2
3588	sting	5
3589	con	7
3590	washington	10
3591	demands	9
3592	receives	1
3593	newcomer	5
3594	derek	2
3595	luke	1
3596	broken	11
3597	texture	4
3598	anywhere	5
3599	chimps	3
3600	goodall	1
3601	minded	1
3602	patience	8
3603	often-cute	1
3604	either	39
3605	fill	9
3606	judicious	1
3607	editing	13
3608	strongest	3
3609	brothers	11
3610	mcmullen	1
3611	serry	1
3612	essentially	16
3613	contained	1
3614	historical	23
3615	context	7
3616	quaid	3
3617	anchors	2
3618	effortless	2
3619	grin	2
3620	ballplayer	1
3621	ok	3
3622	sitcom	8
3623	apparatus	2
3624	humanly	3
3625	taking	21
3626	female	20
3627	salute	3
3628	adapted	4
3629	elfriede	2
3630	jelinek	2
3631	graphic	11
3632	shocking	8
3633	difficult	28
3634	sobering	7
3635	heart-felt	1
3636	adrenalin	2
3637	rusted-out	1
3638	ruin	1
3639	collapse	2
3640	final	25
3641	restored	1
3642	belittle	1
3643	shorter	4
3644	phillip	2
3645	noyce	5
3646	christopher	3
3647	doyle	1
3648	delicate	13
3649	forcefulness	2
3650	prose	4
3651	sublimely	2
3652	lofty	4
3653	savour	2
3654	binoche	3
3655	huskies	1
3656	border	2
3657	collie	1
3658	genial	5
3659	whatever	16
3660	complaints	1
3661	errors	3
3662	hard-won	1
3663	self-glorification	2
3664	feel-good	10
3665	fiascos	1
3666	emperor	4
3667	club	5
3668	mastering	1
3669	formidable	1
3670	arithmetic	1
3671	cameras	1
3672	articulates	2
3673	flood	1
3674	emotion	12
3675	kid-pleasing	1
3676	tolerable-to-adults	1
3677	lark	3
3678	climactic	6
3679	hourlong	1
3680	cricket	2
3681	match	16
3682	boredom	4
3683	combine	3
3684	claustrophobia	1
3685	submarine	3
3686	spookiness	2
3687	supernatural	5
3688	sooner	1
3689	kubrick	2
3690	soderbergh	16
3691	detract	2
3692	favorite	5
3693	friends	8
3694	thick	7
3695	problem	40
3696	shortness	1
3697	disappoints	1
3698	anime	4
3699	ardent	2
3700	outside	9
3701	japan	6
3702	introverted	1
3703	fetishes	1
3704	hopelessly	3
3705	juvenile	5
3706	am	7
3707	break	15
3708	attraction	14
3709	desperately	9
3710	needed	15
3711	uk	1
3712	jack	11
3713	carter	1
3714	went	10
3715	newcastle	1
3716	gangster	13
3717	no.	9
3718	drips	1
3719	england	2
3720	wander	2
3721	clouds	1
3722	denial	5
3723	chords	1
3724	bai	1
3725	taken	18
3726	slice	12
3727	process	21
3728	flamboyant	6
3729	artfully	3
3730	restrained	2
3731	65-year-old	1
3732	nicholson	9
3733	12th	1
3734	oscar	17
3735	nomination	7
3736	proving	2
3737	choosing	1
3738	roles	7
3739	precision	3
3740	insurance	4
3741	actuary	1
3742	direct	3
3743	connection	5
3744	spans	1
3745	convoluted	5
3746	amazing	14
3747	super-sized	2
3748	dosage	1
3749	goofball	3
3750	stunts	10
3751	jackass	4
3752	agendas	1
3753	everlyn	1
3754	sampi	1
3755	courageous	2
3756	molly	3
3757	craig	4
3758	radiates	1
3759	star-power	1
3760	considerable	17
3761	confirms	3
3762	tezuka	1
3763	status	4
3764	animé	2
3765	defining	1
3766	conscience	2
3767	narrated	2
3768	talking	12
3769	morvern	5
3770	callar	4
3771	lynne	1
3772	ramsay	7
3773	well-done	3
3774	keen	2
3775	insights	8
3776	parapsychological	1
3777	phenomena	1
3778	grieving	2
3779	plethora	2
3780	diatribes	1
3781	delivered	11
3782	households	1
3783	forefront	1
3784	sixth	2
3785	makers	10
3786	embraces	4
3787	wiseman	4
3788	uncompromising	8
3789	observe	2
3790	torn	3
3791	abuse	6
3792	none	28
3793	happily-ever	1
3794	spangle	1
3795	dover	4
3796	kosashvili	4
3797	outstanding	6
3798	potent	7
3799	damaged	4
3800	families	10
3801	offer	22
3802	consolation	4
3803	arguably	2
3804	lie	6
3805	fat	15
3806	liar	3
3807	invigorating	2
3808	surreal	7
3809	rainbow	1
3810	alfonso	1
3811	cuaron	2
3812	rapid	1
3813	omniscient	1
3814	voice-over	2
3815	narrator	3
3816	pray	3
3817	sisterhood	5
3818	maintains	8
3819	one-room	1
3820	humorous	14
3821	illuminating	3
3822	politics	13
3823	mobility	1
3824	interest	37
3825	gang-infested	1
3826	east-vs	1
3827	west	7
3828	coast	2
3829	wars	10
3830	mob	2
3831	fascinate	3
3832	thurman	1
3833	considered	6
3834	career-best	1
3835	berry	2
3836	saucy	2
3837	kick	4
3838	die	11
3839	bonds	2
3840	showy	1
3841	hannibal	6
3842	caviezel	1
3843	embodies	1
3844	transformation	4
3845	completely	36
3846	self-destructive	2
3847	exploratory	1
3848	medical	4
3849	procedure	2
3850	autopsy	2
3851	upping	1
3852	ante	1
3853	results	15
3854	drooling	2
3855	idemoto	2
3856	béart	2
3857	berling	2
3858	magnificent	6
3859	pauline	4
3860	paulette	3
3861	der	1
3862	groen	1
3863	described	4
3864	belgium	3
3865	treasure	11
3866	created	15
3867	swept	4
3868	muccino	4
3869	exploring	6
3870	beings	4
3871	horribly	3
3872	sympathetic	6
3873	buy	11
3874	findings	1
3875	acquires	1
3876	slight	20
3877	pale	6
3878	continues	9
3879	situations	18
3880	lesser	6
3881	cover	5
3882	ozpetek	5
3883	emigre	1
3884	explore	6
3885	same-sex	1
3886	ways	32
3887	elude	1
3888	nationally	1
3889	settled	3
3890	eerily	3
3891	suspenseful	10
3892	treatise	1
3893	spirituality	2
3894	recommend	16
3895	nicole	4
3896	party	13
3897	attending	1
3898	fluid	5
3899	no-nonsense	2
3900	authority	7
3901	phifer	2
3902	cam	1
3903	ron	3
3904	seal	2
3905	komediant	1
3906	catching	3
3907	writing	28
3908	simplicity	6
3909	equals	3
3910	aesop	1
3911	rez	1
3912	picnic	2
3913	marry	1
3914	science	9
3915	inquiry	3
3916	type	11
3917	realistic	12
3918	urgent	2
3919	sugarcoated	1
3920	fizz	4
3921	busby	1
3922	berkeley	1
3923	musical	12
3924	extravaganza	5
3925	cheesy	9
3926	palma	6
3927	pulpy	3
3928	thrillers	6
3929	'80s	1
3930	iranian-american	1
3931	1979	1
3932	veteran	3
3933	cutter	1
3934	barbershop	12
3935	tuned	4
3936	baffled	3
3937	minimal	3
3938	woolf	1
3939	clarissa	1
3940	dalloway	1
3941	angela	2
3942	gheorghiu	2
3943	prima	1
3944	donna	1
3945	floria	1
3946	tosca	4
3947	roberto	4
3948	alagna	2
3949	lover	2
3950	mario	1
3951	cavaradossi	1
3952	ruggero	2
3953	villainous	4
3954	lecherous	1
3955	scarpia	1
3956	sing	3
3957	reach	10
3958	grasp	5
3959	scorsese	10
3960	bold	8
3961	ensure	2
3962	lethargic	1
3963	hindered	2
3964	central	15
3965	peppered	2
3966	populated	2
3967	mesmerizing	10
3968	coming	19
3969	realize	10
3970	blown	4
3971	choreographed	2
3972	kitchen	2
3973	ballet	2
3974	underlying	3
3975	sexism	2
3976	morning	6
3977	undercuts	3
3978	agenda	2
3979	deliver	14
3980	awe-inspiring	2
3981	sublime	3
3982	athletes	4
3983	derring-do	1
3984	x	13
3985	games	11
3986	gidget	1
3987	muscles	1
3988	smarts	1
3989	endearing	15
3990	solace	1
3991	giggling	1
3992	absurdities	4
3993	inconsistencies	2
3994	fight	9
3995	desperation	9
3996	drug	8
3997	insomnia	7
3998	conventional	16
3999	nolan	2
4000	penetrating	5
4001	undercurrent	3
4002	cerebral	4
4003	cinemantic	1
4004	stimulating	3
4005	efteriades	1
4006	neighborhood	4
4007	scenery	5
4008	vibe	3
4009	equivalent	11
4010	tender	9
4011	hug	2
4012	handled	7
4013	darkness	4
4014	etched	1
4015	college	17
4016	vulgarity	2
4017	cussing	2
4018	swear	4
4019	wet	5
4020	creeping	2
4021	raunchy	4
4022	follow-up	2
4023	stand-up	8
4024	astronaut	1
4025	breathtakingly	4
4026	catherine	2
4027	di	1
4028	napoli	1
4029	melville	1
4030	supporting	11
4031	quick-witted	1
4032	lit	4
4033	sassy	2
4034	exceptionally	7
4035	stretches	4
4036	awe	6
4037	choices	10
4038	gift	5
4039	loves	8
4040	dance	9
4041	floppy	1
4042	hair	8
4043	self-deprecating	4
4044	stammers	1
4045	glitz	2
4046	humane	3
4047	infectiously	1
4048	enthusiastic	6
4049	timeless	5
4050	heated	3
4051	passions	4
4052	forgiveness	2
4053	culture-clash	1
4054	discomfort	2
4055	embarrassment	7
4056	europe	1
4057	shattering	2
4058	maladjusted	1
4059	teens	10
4060	narcotized	1
4061	josh	1
4062	koury	3
4063	adds	9
4064	substantial	7
4065	neo-fascism	1
4066	intrigued	1
4067	'70s	8
4068	douglas	4
4069	mcgrath	5
4070	nicholas	9
4071	nickleby	7
4072	dickens	7
4073	cinematically	2
4074	lovely	20
4075	eerie	4
4076	rapt	2
4077	recessive	1
4078	charms	10
4079	co-stars	2
4080	donovan	4
4081	mary-louise	1
4082	problematic	7
4083	whipping	1
4084	punching	4
4085	unprepared	1
4086	wispy	1
4087	inoffensive	8
4088	stepmom	1
4089	israel	3
4090	on-screen	2
4091	jewish	5
4092	ww	1
4093	doc	2
4094	out-shock	1
4095	out-outrage	1
4096	out-depress	1
4097	knew	7
4098	presented	5
4099	intelligence	33
4100	haul	2
4101	finch	1
4102	saturday	8
4103	kinnear	4
4104	career-defining	1
4105	revelation	5
4106	reassuring	3
4107	sung	2
4108	carol	4
4109	including	12
4110	assumption	2
4111	crazy	18
4112	childlike	4
4113	inherently	2
4114	throughout	22
4115	tune	1
4116	taught	1
4117	piano	6
4118	sexiness	1
4119	underlines	1
4120	dullest	4
4121	tangents	1
4122	captivated	1
4123	moods	3
4124	subtly	5
4125	transformed	2
4126	anderson	5
4127	inclination	3
4128	sincere	18
4129	artful	3
4130	adam	12
4131	sandler	17
4132	appear	8
4133	substitute	5
4134	friel	2
4135	strings	2
4136	sink	7
4137	melancholia	1
4138	reaction	4
4139	gut	1
4140	adage	3
4141	unknowable	2
4142	interpretation	4
4143	gritty	9
4144	radiant	3
4145	compassion	9
4146	effortlessly	6
4147	players	7
4148	fore	1
4149	still-inestimable	1
4150	u.s.	2
4151	schnitzler	4
4152	stylist	1
4153	basically	6
4154	greatest-hits	1
4155	reel	6
4156	subscription	1
4157	magazine	1
4158	shadowy	3
4159	samurai	1
4160	sword	2
4161	jiang	1
4162	wen	2
4163	devils	2
4164	doorstep	2
4165	wartime	2
4166	farce	11
4167	alternately	7
4168	gut-wrenching	3
4169	joseph	2
4170	heller	1
4171	kurt	2
4172	vonnegut	1
4173	chronicle	3
4174	represented	2
4175	observations	10
4176	long-lived	1
4177	friendships	2
4178	lose	4
4179	track	1
4180	ourselves	5
4181	caffeinated	2
4182	logical	2
4183	loopholes	1
4184	fly	8
4185	anyway	6
4186	lohman	3
4187	adapts	1
4188	actress	19
4189	wall	2
4190	erects	1
4191	county	2
4192	funnier	15
4193	connect	6
4194	neat	6
4195	introduces	2
4196	illuminate	1
4197	bright	12
4198	flight	2
4199	revisionist	2
4200	fancy	6
4201	shape	3
4202	well-executed	2
4203	television	14
4204	affirms	2
4205	gifts	4
4206	starting	4
4207	on-camera	2
4208	revels	2
4209	smile	11
4210	grumble	1
4211	abundantly	1
4212	exist	5
4213	precedent	1
4214	yiddish	5
4215	jolly	2
4216	fun-for-fun	1
4217	deepa	1
4218	mehta	3
4219	accessible	8
4220	bollywood	3
4221	shedding	1
4222	musicians	3
4223	unnoticed	1
4224	underappreciated	1
4225	gluing	1
4226	seat	14
4227	changing	10
4228	lanes	5
4229	pan	1
4230	nalin	1
4231	exposition	5
4232	mysterious	5
4233	interviews	3
4234	follow	8
4235	practitioners	1
4236	practice	4
4237	fit	16
4238	incredible	4
4239	t.	1
4240	crafty	2
4241	fourteen-year	1
4242	ferris	1
4243	bueller	2
4244	journalism	4
4245	78	1
4246	zings	2
4247	vibrance	1
4248	strangely	15
4249	coldest	1
4250	environment	3
4251	crumb	1
4252	comfort	7
4253	10-course	1
4254	banquet	1
4255	tired	27
4256	pulse	4
4257	disappears	1
4258	crosses	3
4259	finish	16
4260	winded	1
4261	stripped-down	1
4262	constructs	3
4263	austere	1
4264	equal	6
4265	parts	10
4266	dogtown	5
4267	z-boys	3
4268	exposes	3
4269	skateboarding	1
4270	boom	3
4271	punk	4
4272	revolution	12
4273	wide	5
4274	awake	2
4275	tense	5
4276	eye-popping	2
4277	danny	4
4278	astounding	4
4279	gradually	9
4280	beneath	11
4281	spellbinding	2
4282	serpent	1
4283	smirk	3
4284	cohesive	5
4285	thematically	3
4286	exciting	19
4287	ignored	4
4288	well-contructed	1
4289	careful	3
4290	given	29
4291	workout	2
4292	reaffirms	1
4293	drag	15
4294	two-thirds	2
4295	aspects	11
4296	start	23
4297	overtake	1
4298	jerry	5
4299	springer	1
4300	skip	9
4301	sy	2
4302	open-faced	1
4303	smiling	2
4304	madmen	1
4305	slightest	4
4306	difficulty	2
4307	accepting	3
4308	role	29
4309	open	11
4310	ouzo	1
4311	greek	11
4312	whirlwind	1
4313	non-stop	2
4314	feast	4
4315	cringe	1
4316	stylish	20
4317	hermetic	1
4318	energized	1
4319	volletta	1
4320	wallace	9
4321	maternal	2
4322	fury	2
4323	crackles	2
4324	definite	2
4325	unbelievable	5
4326	meandering	13
4327	'60s	5
4328	riveting	15
4329	brisk	6
4330	delight	15
4331	capture	8
4332	chaos	3
4333	1790	1
4334	imagines	1
4335	runner	5
4336	transports	2
4337	engages	2
4338	actorly	1
4339	boundary-hopping	1
4340	formal	2
4341	innovations	1
4342	chinese	9
4343	well-formed	1
4344	dong	7
4345	continuing	1
4346	fundamentals	4
4347	consumers	1
4348	lo	2
4349	mein	1
4350	tso	1
4351	chicken	3
4352	folks	11
4353	prepare	2
4354	hopefully	4
4355	attach	1
4356	steaming	2
4357	cartons	1
4358	hatosy	1
4359	portrays	7
4360	brendan	3
4361	subtlety	9
4362	brogue	2
4363	convey	6
4364	uneven	19
4365	bigger	7
4366	ambitious	24
4367	installment	5
4368	spy	23
4369	12-year-old	3
4370	grown	2
4371	château	4
4372	whimsicality	1
4373	discipline	2
4374	personality	11
4375	yields	1
4376	alan	2
4377	survivors	3
4378	lift	4
4379	playwriting	1
4380	101	5
4381	raw	11
4382	blown-out	1
4383	narc	8
4384	walking-dead	1
4385	cop-flick	1
4386	subgenre	2
4387	beats	3
4388	jason	11
4389	race	7
4390	forcefully	4
4391	awfully	4
4392	obviousness	2
4393	stupidity	4
4394	95	3
4395	jolts	3
4396	cattle	1
4397	prod	1
4398	kim	3
4399	possibility	4
4400	danger	4
4401	toes	3
4402	whereas	2
4403	stone	6
4404	conspiracy	5
4405	jfk	2
4406	intricate	6
4407	star-studded	1
4408	flashy	10
4409	incurably	1
4410	triple	2
4411	double	6
4412	agent	4
4413	dude	4
4414	popular	4
4415	vin	3
4416	diesel	7
4417	equation	2
4418	box	6
4419	office	9
4420	well-written	4
4421	telling	15
4422	examines	6
4423	forbidden	2
4424	racial	6
4425	valid	1
4426	1950s	3
4427	dazed	1
4428	confused	4
4429	pornography	1
4430	ai	7
4431	lame	14
4432	musketeer	1
4433	dumas	4
4434	entertains	2
4435	cuisine	2
4436	tunes	2
4437	dreary	13
4438	twenty-first	1
4439	recommended	5
4440	horrifying	8
4441	event	9
4442	elements	28
4443	contributed	1
4444	animation	32
4445	enthusiasts	1
4446	squeeze	6
4447	angelina	1
4448	jolie	5
4449	secretary	8
4450	bundling	1
4451	flowers	2
4452	tempting	3
4453	bouquet	2
4454	judith	1
4455	zaza	1
4456	bedroom	1
4457	psychologically	6
4458	self-revealing	1
4459	passes	5
4460	hysterics	1
4461	melancholy	6
4462	performed	6
4463	uncinematic	2
4464	spiked	2
4465	myself	8
4466	corniest	1
4467	hackneyed	11
4468	contrivances	7
4469	effect	15
4470	uh	2
4471	shred	2
4472	relying	3
4473	trinity	1
4474	assembly	3
4475	irony	7
4476	george	17
4477	ratliff	3
4478	reflects	3
4479	terrifying	9
4480	confessions	3
4481	bio	1
4482	nor	32
4483	barris	1
4484	motivations	4
4485	oddly	14
4486	architect	2
4487	melancholic	2
4488	leavened	3
4489	nourishing	2
4490	companionship	1
4491	kuras	1
4492	actresses	10
4493	velocity	4
4494	gedeck	1
4495	enormously	5
4496	tall	2
4497	pryor	3
4498	carlin	1
4499	murphy	15
4500	front-loaded	1
4501	shapely	1
4502	two-hour	2
4503	released	8
4504	1990	1
4505	photographer	2
4506	nachtwey	4
4507	hates	3
4508	empathizes	1
4509	laid-back	2
4510	choose	7
4511	interpret	1
4512	optimistic	3
4513	163	2
4514	languorous	4
4515	bursting	2
4516	incident	5
4517	scores	8
4518	pedestrian	7
4519	title	47
4520	notwithstanding	5
4521	spader	3
4522	gyllenhaal	4
4523	shainberg	2
4524	well-crafted	7
4525	restraint	3
4526	uncanny	6
4527	precisely	6
4528	animal	12
4529	known	5
4530	companion	3
4531	similarly	5
4532	themed	2
4533	lieutenant	2
4534	pearce	1
4535	semi-stable	1
4536	dramatically	9
4537	retooled	2
4538	machine	13
4539	crowd-pleasing	1
4540	goals	2
4541	plain	20
4542	awful	23
4543	entertain	7
4544	guilty-pleasure	2
4545	so-bad-it	2
4546	disoriented	1
4547	disarming	1
4548	saga	8
4549	alice	4
4550	wonderland	1
4551	stalker	1
4552	tv	32
4553	brother	7
4554	functions	3
4555	collaborative	1
4556	profile	5
4557	corporate	3
4558	circus	4
4559	current	7
4560	climate	2
4561	mergers	1
4562	downsizing	1
4563	confrontational	1
4564	stance	2
4565	todd	5
4566	aim	4
4567	correctness	3
4568	suburban	5
4569	mess	35
4570	portuguese	2
4571	import	4
4572	borrows	6
4573	les	1
4574	vampires	3
4575	art-house	5
4576	porn	5
4577	unusually	6
4578	assured	11
4579	photographic	1
4580	marvel	6
4581	sorts	1
4582	fishy	2
4583	unslick	1
4584	apparently	11
4585	aniston	2
4586	grow	9
4587	career	20
4588	olivier	3
4589	assayas	4
4590	appointed	2
4591	padded	3
4592	too-conscientious	1
4593	jaw-droppingly	3
4594	upends	1
4595	cliché	12
4596	japanese	12
4597	delivering	8
4598	satisfactory	3
4599	carnage	3
4600	terry	4
4601	geriatric	3
4602	loyal	2
4603	suits	3
4604	wherein	1
4605	hero	25
4606	roughshod	2
4607	incompetent	5
4608	cops	3
4609	lifted	1
4610	gilliam	2
4611	subconscious	1
4612	pressed	3
4613	meat	5
4614	grinder	2
4615	buñuel	3
4616	casings	1
4617	child	11
4618	skins	5
4619	forgive	8
4620	intentions	12
4621	entree	1
4622	confection	2
4623	demand	3
4624	halloween	8
4625	relies	10
4626	heavily	5
4627	grandstanding	1
4628	rocky-like	1
4629	throwing	7
4630	joys	2
4631	brief	5
4632	armed	2
4633	pitch-perfect	3
4634	forster	1
4635	meara	1
4636	levy	2
4637	mike	10
4638	shoots	2
4639	namesake	1
4640	decent-enough	1
4641	nail-biter	1
4642	chance	12
4643	franklin	3
4644	stay	13
4645	afloat	3
4646	docu-drama	1
4647	builds	5
4648	flourish	1
4649	uncertain	5
4650	higher	3
4651	plateau	1
4652	interrogation	1
4653	grips	2
4654	downer	1
4655	over-dramatic	1
4656	romances	4
4657	enticing	4
4658	chewing	1
4659	blubber	1
4660	acquired	2
4661	shake	10
4662	almodovar	2
4663	discover	4
4664	william	2
4665	james	12
4666	tears	6
4667	tepid	5
4668	trek	8
4669	insurrection	1
4670	contact	3
4671	villain	7
4672	lint	2
4673	borg	1
4674	queen	15
4675	krige	1
4676	cape	1
4677	finishes	1
4678	parsec	1
4679	nose	4
4680	generations	3
4681	dated	2
4682	depending	2
4683	ignorant	2
4684	fairies	1
4685	sweaty-palmed	1
4686	majidi	2
4687	smoother	3
4688	bewilderingly	1
4689	caring	4
4690	tissues	2
4691	stale	14
4692	standard	16
4693	connect-the-dots	2
4694	commonplace	1
4695	seamy	1
4696	underbelly	4
4697	criminal	4
4698	probing	4
4699	caustic	3
4700	chimes	2
4701	eccentricities	1
4702	attached	2
4703	concept	25
4704	frodo	1
4705	quest	9
4706	unfulfilled	2
4707	hardy	2
4708	zealanders	1
4709	proved	3
4710	mettle	1
4711	square	4
4712	satisfies	4
4713	intoxication	1
4714	tastelessness	3
4715	swooning	2
4716	elegance	3
4717	features	12
4718	betting	1
4719	behold	7
4720	impressed	5
4721	tit-for-tat	1
4722	retaliatory	1
4723	responses	1
4724	allow	7
4725	pulling	5
4726	plug	1
4727	conspirators	1
4728	american-russian	1
4729	armageddon	1
4730	classy	3
4731	spin	6
4732	frantic	4
4733	soon	12
4734	spiffy	2
4735	unruly	2
4736	yearning	6
4737	prove	11
4738	devos	2
4739	cassel	1
4740	tremendous	5
4741	vocalized	1
4742	fulfills	2
4743	requirement	1
4744	exception	5
4745	blighter	1
4746	particular	14
4747	london	3
4748	housing	2
4749	digs	4
4750	dysfunction	2
4751	comforting	2
4752	jar	3
4753	marmite	1
4754	slathered	2
4755	crackers	1
4756	served	13
4757	bleakness	1
4758	consume	1
4759	impress	2
4760	president	2
4761	single-handedly	1
4762	turned	11
4763	hard-bitten	2
4764	cynical	9
4765	journalists	1
4766	campaign	2
4767	publicity	1
4768	department	4
4769	until	23
4770	rails	1
4771	wendigo	5
4772	larry	2
4773	newfangled	2
4774	variation	3
4775	derived	3
4776	woo	11
4777	collateral	5
4778	damage	9
4779	trash	8
4780	earns	2
4781	extra	5
4782	hard-hitting	2
4783	formula	31
4784	fincher	4
4785	pacing	20
4786	above-average	2
4787	larger-than-life	2
4788	atlantic	3
4789	headbanger	1
4790	stereotypes	8
4791	adding	3
4792	potentially	10
4793	previous	20
4794	titles	4
4795	plutonium	1
4796	purgatory	1
4797	penchant	2
4798	contentious	1
4799	configurations	1
4800	canon	3
4801	invitingly	1
4802	upbeat	4
4803	overture	1
4804	pathos-filled	1
4805	finale	10
4806	conducted	1
4807	loneliest	1
4808	spots	5
4809	pushed	3
4810	virtuous	1
4811	limits	4
4812	lending	1
4813	swings	3
4814	jostles	1
4815	rhythms	9
4816	telescope	1
4817	aloof	3
4818	unreachable	1
4819	targeted	4
4820	cheer	5
4821	increasingly	10
4822	computer	7
4823	favor	12
4824	blade	17
4825	merges	2
4826	bits	11
4827	fighting	8
4828	wire	1
4829	fu	2
4830	bond	15
4831	wrestling	2
4832	bloody	7
4833	stew	2
4834	hitting	7
4835	schrader	3
4836	ironies	3
4837	annals	3
4838	fear	12
4839	updating	3
4840	glib	3
4841	bouncy	2
4842	sixties-style	1
4843	slickness	1
4844	caught	8
4845	escapism	6
4846	hip-hop	11
4847	appreciate	9
4848	scratch	9
4849	bursts	5
4850	automatic	1
4851	gunfire	2
4852	critique	3
4853	capitalism	1
4854	improbable	7
4855	gored	2
4856	bullfighters	1
4857	comatose	1
4858	ballerinas	1
4859	kinky	2
4860	bedside	1
4861	vigils	1
4862	denouements	1
4863	touched	6
4864	iwai	3
4865	seduce	2
4866	taboo	2
4867	prim	2
4868	source	11
4869	scooby	5
4870	doo	1
4871	recommendation	3
4872	devastatingly	2
4873	astonishingly	6
4874	complete	16
4875	gang	5
4876	insane	3
4877	liberties	2
4878	goofiest	1
4879	field	4
4880	sun-drenched	1
4881	parlor	1
4882	curiosity	9
4883	forum	2
4884	demonstrate	3
4885	chops	4
4886	advantage	6
4887	bio-pic	2
4888	present	10
4889	downfall	2
4890	self-awareness	2
4891	bourne	4
4892	identity	12
4893	doug	2
4894	liman	2
4895	colleagues	1
4896	satisfy	2
4897	boom-bam	1
4898	veggietales	1
4899	appetizing	1
4900	dish	5
4901	asparagus	1
4902	brussels	1
4903	sprouts	1
4904	remove	1
4905	herring	1
4906	surroundings	2
4907	apparent	9
4908	mildly	19
4909	outing	6
4910	r	2
4911	rating	5
4912	nudity	3
4913	corpse	3
4914	aloft	1
4915	self-referential	1
4916	tim	2
4917	refuses	5
4918	ruthless	2
4919	placid	2
4920	conservative	5
4921	hidebound	1
4922	movie-making	1
4923	traditions	4
4924	relevance	3
4925	lessons	4
4926	revisiting	1
4927	intrepid	1
4928	showing	9
4929	antonia	3
4930	question	17
4931	flip-flop	2
4932	courtship	1
4933	reflections	1
4934	intentional	1
4935	grows	10
4936	vacuum	3
4937	gooding	4
4938	frontman	1
4939	enthusiasm	8
4940	good-naturedness	1
4941	goofiness	2
4942	cameos	2
4943	than-likely	1
4944	celebrities	1
4945	raises	4
4946	philosophy	6
4947	illustrated	2
4948	stylishly	1
4949	verve	6
4950	rapidly	3
4951	beijing	1
4952	hong	8
4953	kong	8
4954	inevitable	7
4955	flattens	1
4956	wrinkles	1
4957	holm	6
4958	iben	1
4959	hjelje	1
4960	pumpkin	3
4961	accurate	5
4962	block	3
4963	moron	1
4964	foul	4
4965	pristine	2
4966	colors	6
4967	oversized	1
4968	bedtime	1
4969	dishonorable	1
4970	quickie	3
4971	teen-pop	1
